"Type";"PolicyName";"PolicyId";"PolicyVersion";"PolicyScope";"PolicyScopeId";"ALZPolicyName";"ALZVersion";"ALZState";"InTenant";"DetectedBy";"AzAdvertizerUrl"
"Policy";"Deny-SqlMi-minTLS";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-sqlmi-mintls";"1.1.0";"Mg";"alz";"Deny-SqlMi-minTLS";"1.1.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-SqlMi-minTLS.html"
"Policy";"Deny-Storage-ContainerDeleteRetentionPolicy";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-storage-containerdeleteretentionpolicy";"1.0.0";"Mg";"alz";"Deny-Storage-ContainerDeleteRetentionPolicy";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-ContainerDeleteRetentionPolicy.html"
"Policy";"Deny-Storage-CopyScope";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-storage-copyscope";"1.0.0";"Mg";"alz";"Deny-Storage-CopyScope";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-CopyScope.html"
"Policy";"Deny-Storage-CorsRules";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-storage-corsrules";"1.0.0";"Mg";"alz";"Deny-Storage-CorsRules";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-CorsRules.html"
"Policy";"Deny-Storage-LocalUser";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-storage-localuser";"1.0.0";"Mg";"alz";"Deny-Storage-LocalUser";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-LocalUser.html"
"Policy";"Deny-Storage-minTLS";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-storage-mintls";"1.0.0-deprecated";"Mg";"alz";"Deny-Storage-minTLS";"1.0.0-deprecated";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-minTLS.html"
"Policy";"Deny-Storage-NetworkAclsBypass";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-storage-networkaclsbypass";"1.0.0";"Mg";"alz";"Deny-Storage-NetworkAclsBypass";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-NetworkAclsBypass.html"
"Policy";"Deny-Storage-NetworkAclsVirtualNetworkRules";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-storage-networkaclsvirtualnetworkrules";"1.0.0";"Mg";"alz";"Deny-Storage-NetworkAclsVirtualNetworkRules";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-NetworkAclsVirtualNetworkRules.html"
"Policy";"Deny-Storage-ResourceAccessRulesResourceId";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-storage-resourceaccessrulesresourceid";"1.0.0";"Mg";"alz";"Deny-Storage-ResourceAccessRulesResourceId";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-ResourceAccessRulesResourceId.html"
"Policy";"Deny-Storage-ResourceAccessRulesTenantId";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-storage-resourceaccessrulestenantid";"1.0.0";"Mg";"alz";"Deny-Storage-ResourceAccessRulesTenantId";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-ResourceAccessRulesTenantId.html"
"Policy";"Deny-Storage-ServicesEncryption";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-storage-servicesencryption";"1.0.0";"Mg";"alz";"Deny-Storage-ServicesEncryption";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-ServicesEncryption.html"
"Policy";"Deny-Storage-SFTP";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-storage-sftp";"1.0.0";"Mg";"alz";"Deny-Storage-SFTP";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-SFTP.html"
"Policy";"Deny-StorageAccount-CustomDomain";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-storageaccount-customdomain";"1.0.0";"Mg";"alz";"Deny-StorageAccount-CustomDomain";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-StorageAccount-CustomDomain.html"
"Policy";"Deny-Subnet-Without-Nsg";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-subnet-without-nsg";"2.0.0";"Mg";"alz";"Deny-Subnet-Without-Nsg";"2.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Subnet-Without-Nsg.html"
"Policy";"Deny-Subnet-Without-Penp";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-subnet-without-penp";"1.0.0";"Mg";"alz";"Deny-Subnet-Without-Penp";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Subnet-Without-Penp.html"
"Policy";"Deny-Subnet-Without-Udr";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-subnet-without-udr";"2.0.0";"Mg";"alz";"Deny-Subnet-Without-UDR";"2.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Subnet-Without-UDR.html"
